# Continuous evolution trace log
global_time,t,x,a
23.154190,0.909990,115.770950,5.000000
23.255300,1.011100,116.276500,5.000000
global_time,t,x,a
23.255300,0.000000,116.276500,5.000000
23.356410,0.101110,116.782050,5.000000
23.457520,0.202220,117.287600,5.000000
23.558630,0.303330,117.793150,5.000000
23.659740,0.404440,118.298700,5.000000
23.760850,0.505550,118.804250,5.000000
23.861960,0.606660,119.309800,5.000000
23.963070,0.707770,119.815350,5.000000
24.064180,0.808880,120.320900,5.000000
24.165290,0.909990,120.826450,5.000000
24.266400,1.011100,121.332000,5.000000
global_time,t,x,a
24.266400,0.000000,121.332000,5.000000
24.367510,0.101110,121.837550,5.000000
24.468620,0.202220,122.343100,5.000000
24.569730,0.303330,122.848650,5.000000
24.670840,0.404440,123.354200,5.000000
24.771950,0.505550,123.859750,5.000000
24.873060,0.606660,124.365300,5.000000
24.974170,0.707770,124.870850,5.000000
25.075280,0.808880,125.376400,5.000000
25.176390,0.909990,125.881950,5.000000
25.277500,1.011100,126.387500,5.000000
global_time,t,x,a
25.277500,0.000000,126.387500,5.000000
25.378610,0.101110,126.893050,5.000000
25.479720,0.202220,127.398600,5.000000
25.580830,0.303330,127.904150,5.000000
25.681940,0.404440,128.409700,5.000000
25.783050,0.505550,128.915250,5.000000
25.884160,0.606660,129.420800,5.000000
25.985270,0.707770,129.926350,5.000000
26.086380,0.808880,130.431900,5.000000
26.187490,0.909990,130.937450,5.000000
26.288600,1.011100,131.443000,5.000000
global_time,t,x,a
26.288600,0.000000,131.443000,5.000000
26.389710,0.101110,131.948550,5.000000
26.490820,0.202220,132.454100,5.000000
26.591930,0.303330,132.959650,5.000000
26.693040,0.404440,133.465200,5.000000
26.794150,0.505550,133.970750,5.000000
26.895260,0.606660,134.476300,5.000000
26.996370,0.707770,134.981850,5.000000
27.097480,0.808880,135.487400,5.000000
27.198590,0.909990,135.992950,5.000000
27.299700,1.011100,136.498500,5.000000
global_time,t,x,a
27.299700,0.000000,136.498500,5.000000
27.400810,0.101110,137.004050,5.000000
27.501920,0.202220,137.509600,5.000000
27.603030,0.303330,138.015150,5.000000
27.704140,0.404440,138.520700,5.000000
27.805250,0.505550,139.026250,5.000000
27.906360,0.606660,139.531800,5.000000
28.007470,0.707770,140.037350,5.000000
28.108580,0.808880,140.542900,5.000000
28.209690,0.909990,141.048450,5.000000
28.310800,1.011100,141.554000,5.000000
global_time,t,x,a
28.310800,0.000000,141.554000,5.000000
28.411910,0.101110,142.059550,5.000000
28.513020,0.202220,142.565100,5.000000
28.614130,0.303330,143.070650,5.000000
28.715240,0.404440,143.576200,5.000000
28.816350,0.505550,144.081750,5.000000
28.917460,0.606660,144.587300,5.000000
29.018570,0.707770,145.092850,5.000000
29.119680,0.808880,145.598400,5.000000
29.220790,0.909990,146.103950,5.000000
29.321900,1.011100,146.609500,5.000000
global_time,t,x,a
29.321900,0.000000,146.609500,5.000000
29.423010,0.101110,147.115050,5.000000
29.524120,0.202220,147.620600,5.000000
29.625230,0.303330,148.126150,5.000000
29.726340,0.404440,148.631700,5.000000
29.827450,0.505550,149.137250,5.000000
29.928560,0.606660,149.642800,5.000000
30.029670,0.707770,150.148350,5.000000
30.130780,0.808880,150.653900,5.000000
30.231890,0.909990,151.159450,5.000000
30.333000,1.011100,151.665000,5.000000
global_time,t,x,a
30.333000,0.000000,151.665000,5.000000
30.434110,0.101110,152.170550,5.000000
30.535220,0.202220,152.676100,5.000000
30.636330,0.303330,153.181650,5.000000
30.737440,0.404440,153.687200,5.000000
30.838550,0.505550,154.192750,5.000000
30.939660,0.606660,154.698300,5.000000
31.040770,0.707770,155.203850,5.000000
31.141880,0.808880,155.709400,5.000000
31.242990,0.909990,156.214950,5.000000
31.344100,1.011100,156.720500,5.000000
global_time,t,x,a
31.344100,0.000000,156.720500,5.000000
31.445210,0.101110,157.226050,5.000000
31.546320,0.202220,157.731600,5.000000
31.647430,0.303330,158.237150,5.000000
31.748540,0.404440,158.742700,5.000000
31.849650,0.505550,159.248250,5.000000
31.950760,0.606660,159.753800,5.000000
32.051870,0.707770,160.259350,5.000000
32.152980,0.808880,160.764900,5.000000
32.254090,0.909990,161.270450,5.000000
32.355200,1.011100,161.776000,5.000000
global_time,t,x,a
32.355200,0.000000,161.776000,5.000000
32.456310,0.101110,162.281550,5.000000
32.557420,0.202220,162.787100,5.000000
32.658530,0.303330,163.292650,5.000000
32.759640,0.404440,163.798200,5.000000
32.860750,0.505550,164.303750,5.000000
32.961860,0.606660,164.809300,5.000000
33.062970,0.707770,165.314850,5.000000
33.164080,0.808880,165.820400,5.000000
33.265190,0.909990,166.325950,5.000000
33.366300,1.011100,166.831500,5.000000
global_time,t,x,a
33.366300,0.000000,166.831500,5.000000
33.467410,0.101110,167.337050,5.000000
33.568520,0.202220,167.842600,5.000000
33.669630,0.303330,168.348150,5.000000
33.770740,0.404440,168.853700,5.000000
33.871850,0.505550,169.359250,5.000000
33.972960,0.606660,169.864800,5.000000
34.074070,0.707770,170.370350,5.000000
34.175180,0.808880,170.875900,5.000000
34.276290,0.909990,171.381450,5.000000
34.377400,1.011100,171.887000,5.000000
global_time,t,x,a
34.377400,0.000000,171.887000,5.000000
34.478510,0.101110,172.392550,5.000000
34.579620,0.202220,172.898100,5.000000
34.680730,0.303330,173.403650,5.000000
34.781840,0.404440,173.909200,5.000000
34.882950,0.505550,174.414750,5.000000
34.984060,0.606660,174.920300,5.000000
35.085170,0.707770,175.425850,5.000000
35.186280,0.808880,175.931400,5.000000
35.287390,0.909990,176.436950,5.000000
35.388500,1.011100,176.942500,5.000000
global_time,t,x,a
35.388500,0.000000,176.942500,5.000000
35.489610,0.101110,177.448050,5.000000
35.590720,0.202220,177.953600,5.000000
35.691830,0.303330,178.459150,5.000000
35.792940,0.404440,178.964700,5.000000
35.894050,0.505550,179.470250,5.000000
35.995160,0.606660,179.975800,5.000000
36.096270,0.707770,180.481350,5.000000
36.197380,0.808880,180.986900,5.000000
36.298490,0.909990,181.492450,5.000000
36.399600,1.011100,181.998000,5.000000
global_time,t,x,a
36.399600,0.000000,181.998000,5.000000
36.500710,0.101110,182.503550,5.000000
36.601820,0.202220,183.009100,5.000000
36.702930,0.303330,183.514650,5.000000
36.804040,0.404440,184.020200,5.000000
36.905150,0.505550,184.525750,5.000000
37.006260,0.606660,185.031300,5.000000
37.107370,0.707770,185.536850,5.000000
37.208480,0.808880,186.042400,5.000000
37.309590,0.909990,186.547950,5.000000
37.410700,1.011100,187.053500,5.000000
global_time,t,x,a
37.410700,0.000000,187.053500,5.000000
37.511810,0.101110,187.559050,5.000000
37.612920,0.202220,188.064600,5.000000
37.714030,0.303330,188.570150,5.000000
37.815140,0.404440,189.075700,5.000000
37.916250,0.505550,189.581250,5.000000
38.017360,0.606660,190.086800,5.000000
38.118470,0.707770,190.592350,5.000000
38.219580,0.808880,191.097900,5.000000
38.320690,0.909990,191.603450,5.000000
38.421800,1.011100,192.109000,5.000000
global_time,t,x,a
38.421800,0.000000,192.109000,5.000000
38.522910,0.101110,192.614550,5.000000
38.624020,0.202220,193.120100,5.000000
38.725130,0.303330,193.625650,5.000000
38.826240,0.404440,194.131200,5.000000
38.927350,0.505550,194.636750,5.000000
39.028460,0.606660,195.142300,5.000000
39.129570,0.707770,195.647850,5.000000
39.230680,0.808880,196.153400,5.000000
39.331790,0.909990,196.658950,5.000000
39.432900,1.011100,197.164500,5.000000
global_time,t,x,a
39.432900,0.000000,197.164500,5.000000
39.534010,0.101110,197.670050,5.000000
39.635120,0.202220,198.175600,5.000000
39.736230,0.303330,198.681150,5.000000
39.837340,0.404440,199.186700,5.000000
39.938450,0.505550,199.692250,5.000000
40.039560,0.606660,200.197800,5.000000
40.140670,0.707770,200.703350,5.000000
40.241780,0.808880,201.208900,5.000000
40.342890,0.909990,201.714450,5.000000
40.444000,1.011100,202.220000,5.000000
global_time,t,x,a
40.444000,0.000000,202.220000,5.000000
40.545110,0.101110,202.725550,5.000000
40.646220,0.202220,203.231100,5.000000
40.747330,0.303330,203.736650,5.000000
40.848440,0.404440,204.242200,5.000000
40.949550,0.505550,204.747750,5.000000
41.050660,0.606660,205.253300,5.000000
41.151770,0.707770,205.758850,5.000000
41.252880,0.808880,206.264400,5.000000
41.353990,0.909990,206.769950,5.000000
41.455100,1.011100,207.275500,5.000000
global_time,t,x,a
41.455100,0.000000,207.275500,5.000000
41.556210,0.101110,207.781050,5.000000
41.657320,0.202220,208.286600,5.000000
41.758430,0.303330,208.792150,5.000000
41.859540,0.404440,209.297700,5.000000
41.960650,0.505550,209.803250,5.000000
42.061760,0.606660,210.308800,5.000000
42.162870,0.707770,210.814350,5.000000
42.263980,0.808880,211.319900,5.000000
42.365090,0.909990,211.825450,5.000000
42.466200,1.011100,212.331000,5.000000
global_time,t,x,a
42.466200,0.000000,212.331000,5.000000
42.567310,0.101110,212.836550,5.000000
42.668420,0.202220,213.342100,5.000000
42.769530,0.303330,213.847650,5.000000
42.870640,0.404440,214.353200,5.000000
42.971750,0.505550,214.858750,5.000000
43.072860,0.606660,215.364300,5.000000
43.173970,0.707770,215.869850,5.000000
43.275080,0.808880,216.375400,5.000000
43.376190,0.909990,216.880950,5.000000
43.477300,1.011100,217.386500,5.000000
global_time,t,x,a
43.477300,0.000000,217.386500,5.000000
43.578410,0.101110,217.892050,5.000000
43.679520,0.202220,218.397600,5.000000
43.780630,0.303330,218.903150,5.000000
43.881740,0.404440,219.408700,5.000000
43.982850,0.505550,219.914250,5.000000
44.083960,0.606660,220.419800,5.000000
44.185070,0.707770,220.925350,5.000000
44.286180,0.808880,221.430900,5.000000
44.387290,0.909990,221.936450,5.000000
44.488400,1.011100,222.442000,5.000000
global_time,t,x,a
44.488400,0.000000,222.442000,5.000000
44.589510,0.101110,222.947550,5.000000
44.690620,0.202220,223.453100,5.000000
44.791730,0.303330,223.958650,5.000000
44.892840,0.404440,224.464200,5.000000
