# Continuous evolution trace log
global_time,t,p,v,a
33.164080,0.808880,549.928101,33.164080,1.000000
33.265190,0.909990,553.286433,33.265190,1.000000
33.366300,1.011100,556.654988,33.366300,1.000000
global_time,t,p,v,a
33.366300,0.000000,556.654988,33.366300,1.000000
33.467410,0.101110,560.033766,33.467410,1.000000
33.568520,0.202220,563.422767,33.568520,1.000000
33.669630,0.303330,566.821992,33.669630,1.000000
33.770740,0.404440,570.231440,33.770740,1.000000
33.871850,0.505550,573.651111,33.871850,1.000000
33.972960,0.606660,577.081006,33.972960,1.000000
34.074070,0.707770,580.521123,34.074070,1.000000
34.175180,0.808880,583.971464,34.175180,1.000000
34.276290,0.909990,587.432028,34.276290,1.000000
34.377400,1.011100,590.902815,34.377400,1.000000
global_time,t,p,v,a
34.377400,0.000000,590.902815,34.377400,1.000000
34.478510,0.101110,594.383826,34.478510,1.000000
34.579620,0.202220,597.875060,34.579620,1.000000
34.680730,0.303330,601.376517,34.680730,1.000000
34.781840,0.404440,604.888197,34.781840,1.000000
34.882950,0.505550,608.410100,34.882950,1.000000
34.984060,0.606660,611.942227,34.984060,1.000000
35.085170,0.707770,615.484577,35.085170,1.000000
35.186280,0.808880,619.037150,35.186280,1.000000
35.287390,0.909990,622.599947,35.287390,1.000000
35.388500,1.011100,626.172966,35.388500,1.000000
global_time,t,p,v,a
35.388500,0.000000,626.172966,35.388500,1.000000
35.489610,0.101110,629.756209,35.489610,1.000000
35.590720,0.202220,633.349675,35.590720,1.000000
35.691830,0.303330,636.953364,35.691830,1.000000
35.792940,0.404440,640.567277,35.792940,1.000000
35.894050,0.505550,644.191413,35.894050,1.000000
35.995160,0.606660,647.825772,35.995160,1.000000
36.096270,0.707770,651.470354,36.096270,1.000000
36.197380,0.808880,655.125159,36.197380,1.000000
36.298490,0.909990,658.790188,36.298490,1.000000
36.399600,1.011100,662.465440,36.399600,1.000000
global_time,t,p,v,a
36.399600,0.000000,662.465440,36.399600,1.000000
36.500710,0.101110,666.150915,36.500710,1.000000
36.601820,0.202220,669.846614,36.601820,1.000000
36.702930,0.303330,673.552535,36.702930,1.000000
36.804040,0.404440,677.268680,36.804040,1.000000
36.905150,0.505550,680.995048,36.905150,1.000000
37.006260,0.606660,684.731640,37.006260,1.000000
37.107370,0.707770,688.478454,37.107370,1.000000
37.208480,0.808880,692.235492,37.208480,1.000000
37.309590,0.909990,696.002753,37.309590,1.000000
37.410700,1.011100,699.780237,37.410700,1.000000
global_time,t,p,v,a
37.410700,0.000000,699.780237,37.410700,1.000000
37.511810,0.101110,703.567945,37.511810,1.000000
37.612920,0.202220,707.365875,37.612920,1.000000
37.714030,0.303330,711.174029,37.714030,1.000000
37.815140,0.404440,714.992407,37.815140,1.000000
37.916250,0.505550,718.821007,37.916250,1.000000
38.017360,0.606660,722.659831,38.017360,1.000000
38.118470,0.707770,726.508878,38.118470,1.000000
38.219580,0.808880,730.368148,38.219580,1.000000
38.320690,0.909990,734.237641,38.320690,1.000000
38.421800,1.011100,738.117358,38.421800,1.000000
global_time,t,p,v,a
38.421800,0.000000,738.117358,38.421800,1.000000
38.522910,0.101110,742.007297,38.522910,1.000000
38.624020,0.202220,745.907460,38.624020,1.000000
38.725130,0.303330,749.817847,38.725130,1.000000
38.826240,0.404440,753.738456,38.826240,1.000000
38.927350,0.505550,757.669289,38.927350,1.000000
39.028460,0.606660,761.610345,39.028460,1.000000
39.129570,0.707770,765.561624,39.129570,1.000000
39.230680,0.808880,769.523127,39.230680,1.000000
39.331790,0.909990,773.494852,39.331790,1.000000
39.432900,1.011100,777.476801,39.432900,1.000000
global_time,t,p,v,a
39.432900,0.000000,777.476801,39.432900,1.000000
39.534010,0.101110,781.468973,39.534010,1.000000
39.635120,0.202220,785.471369,39.635120,1.000000
39.736230,0.303330,789.483987,39.736230,1.000000
39.837340,0.404440,793.506829,39.837340,1.000000
39.938450,0.505550,797.539894,39.938450,1.000000
40.039560,0.606660,801.583182,40.039560,1.000000
40.140670,0.707770,805.636694,40.140670,1.000000
40.241780,0.808880,809.700429,40.241780,1.000000
40.342890,0.909990,813.774387,40.342890,1.000000
40.444000,1.011100,817.858568,40.444000,1.000000
global_time,t,p,v,a
40.444000,0.000000,817.858568,40.444000,1.000000
40.545110,0.101110,821.952972,40.545110,1.000000
40.646220,0.202220,826.057600,40.646220,1.000000
40.747330,0.303330,830.172451,40.747330,1.000000
40.848440,0.404440,834.297525,40.848440,1.000000
40.949550,0.505550,838.432823,40.949550,1.000000
41.050660,0.606660,842.578343,41.050660,1.000000
41.151770,0.707770,846.734087,41.151770,1.000000
41.252880,0.808880,850.900054,41.252880,1.000000
41.353990,0.909990,855.076244,41.353990,1.000000
41.455100,1.011100,859.262658,41.455100,1.000000
global_time,t,p,v,a
41.455100,0.000000,859.262658,41.455100,1.000000
41.556210,0.101110,863.459295,41.556210,1.000000
41.657320,0.202220,867.666155,41.657320,1.000000
41.758430,0.303330,871.883238,41.758430,1.000000
41.859540,0.404440,876.110545,41.859540,1.000000
41.960650,0.505550,880.348074,41.960650,1.000000
42.061760,0.606660,884.595827,42.061760,1.000000
42.162870,0.707770,888.853803,42.162870,1.000000
42.263980,0.808880,893.122003,42.263980,1.000000
42.365090,0.909990,897.400425,42.365090,1.000000
42.466200,1.011100,901.689071,42.466200,1.000000
global_time,t,p,v,a
42.466200,0.000000,901.689071,42.466200,1.000000
42.567310,0.101110,905.987940,42.567310,1.000000
42.668420,0.202220,910.297033,42.668420,1.000000
42.769530,0.303330,914.616348,42.769530,1.000000
42.870640,0.404440,918.945887,42.870640,1.000000
42.971750,0.505550,923.285649,42.971750,1.000000
43.072860,0.606660,927.635634,43.072860,1.000000
43.173970,0.707770,931.995843,43.173970,1.000000
43.275080,0.808880,936.366275,43.275080,1.000000
43.376190,0.909990,940.746929,43.376190,1.000000
43.477300,1.011100,945.137808,43.477300,1.000000
global_time,t,p,v,a
43.477300,0.000000,945.137808,43.477300,1.000000
43.578410,0.101110,949.538909,43.578410,1.000000
43.679520,0.202220,953.950234,43.679520,1.000000
43.780630,0.303330,958.371782,43.780630,1.000000
43.881740,0.404440,962.803553,43.881740,1.000000
43.982850,0.505550,967.245547,43.982850,1.000000
44.083960,0.606660,971.697765,44.083960,1.000000
44.185070,0.707770,976.160205,44.185070,1.000000
44.286180,0.808880,980.632869,44.286180,1.000000
44.387290,0.909990,985.115757,44.387290,1.000000
44.488400,1.011100,989.608867,44.488400,1.000000
global_time,t,p,v,a
44.488400,0.000000,989.608867,44.488400,1.000000
44.589510,0.101110,994.112201,44.589510,1.000000
44.690620,0.202220,998.625758,44.690620,1.000000
44.791730,0.303330,1003.149538,44.791730,1.000000
44.892840,0.404440,1007.683542,44.892840,1.000000
44.993950,0.505550,1012.227768,44.993950,1.000000
45.095060,0.606660,1016.782218,45.095060,1.000000
45.196170,0.707770,1021.346891,45.196170,1.000000
45.297280,0.808880,1025.921788,45.297280,1.000000
45.398390,0.909990,1030.506907,45.398390,1.000000
45.499500,1.011100,1035.102250,45.499500,1.000000
global_time,t,p,v,a
45.499500,0.000000,1035.102250,45.499500,1.000000
45.600610,0.101110,1039.707816,45.600610,1.000000
45.701720,0.202220,1044.323605,45.701720,1.000000
45.802830,0.303330,1048.949618,45.802830,1.000000
45.903940,0.404440,1053.585854,45.903940,1.000000
46.005050,0.505550,1058.232313,46.005050,1.000000
46.106160,0.606660,1062.888995,46.106160,1.000000
46.207270,0.707770,1067.555900,46.207270,1.000000
46.308380,0.808880,1072.233029,46.308380,1.000000
46.409490,0.909990,1076.920381,46.409490,1.000000
46.510600,1.011100,1081.617956,46.510600,1.000000
global_time,t,p,v,a
46.510600,0.000000,1081.617956,46.510600,1.000000
46.611710,0.101110,1086.325755,46.611710,1.000000
46.712820,0.202220,1091.043776,46.712820,1.000000
46.813930,0.303330,1095.772021,46.813930,1.000000
46.915040,0.404440,1100.510489,46.915040,1.000000
47.016150,0.505550,1105.259180,47.016150,1.000000
47.117260,0.606660,1110.018095,47.117260,1.000000
47.218370,0.707770,1114.787233,47.218370,1.000000
47.319480,0.808880,1119.566594,47.319480,1.000000
47.420590,0.909990,1124.356178,47.420590,1.000000
47.521700,1.011100,1129.155985,47.521700,1.000000
global_time,t,p,v,a
47.521700,0.000000,1129.155985,47.521700,1.000000
47.622810,0.101110,1133.966016,47.622810,1.000000
47.723920,0.202220,1138.786270,47.723920,1.000000
47.825030,0.303330,1143.616747,47.825030,1.000000
47.926140,0.404440,1148.457448,47.926140,1.000000
48.027250,0.505550,1153.308371,48.027250,1.000000
48.128360,0.606660,1158.169518,48.128360,1.000000
48.229470,0.707770,1163.040888,48.229470,1.000000
48.330580,0.808880,1167.922482,48.330580,1.000000
48.431690,0.909990,1172.814298,48.431690,1.000000
48.532800,1.011100,1177.716338,48.532800,1.000000
global_time,t,p,v,a
48.532800,0.000000,1177.716338,48.532800,1.000000
48.633910,0.101110,1182.628601,48.633910,1.000000
48.735020,0.202220,1187.551087,48.735020,1.000000
